"RECTYPE","MIBOMD","bomItem","bomRev","bomEntry","lineNbr","dType","partId","qty","lead","cmnt","opCode","srcLoc","altItems",
"<TBLNAME>","MIBOMD","0119-PEN199","0",1,1,0,"GSKCGI-0007",30.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199","0",2,2,0,"GSKCGI-0005",10.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199","0",3,3,0,"GSKCGI-0004",32.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199","0",4,4,0,"GSKCGI-0002",6.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199","0",5,5,0,"LABOR-1700",40.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",1,1,0,"VLVGT-0009",13.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",2,2,0,"VLVGLB-0005",2.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",3,3,0,"VLVGT-0010",2.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",4,4,0,"VLVBL-0030",4.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",5,5,0,"VLVBF-0004",4.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",6,6,0,"VLVBF-0003",9.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",7,7,0,"LABOR-1700",18.000000,0,"","","NTPV",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",8,8,0,"GSKCGI-0002",7.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",9,9,0,"GSKCGI-0003",24.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",10,10,0,"GSKCGI-0005",8.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",11,11,0,"GSKCGI-0007",29.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",12,12,0,"STUDCS-0007-4",124.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",13,13,0,"NUTCS-0001",248.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",14,14,0,"STUDCS-0010",72.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",15,15,0,"STUDCS-0010-1",100.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-PEN199A","0",16,16,0,"NUTCS-0002",344.000000,0,"","","",0,
"<TBLNAME>","MIBOMD","0119-R194","0",1,1,0,"FLGASMEIC-0099",2.000000,0,"","","",0,
